,corr_day_close,corr_day_vol,corr_open_close,day_high,day_low,div_freq,dividend,eps,ex_div_date,market_cap,open,prev_close,price_precent_change_5d,quote_price,quote_price_change,quote_price_change_percent,quote_symbol,quote_volume,yield
1997,-0.6304585038344563,-0.00035320915058733036,0.7932260125767068,0.00,0.00,N/A,N A,-0.030000,N/A,3394513,0.00,0.09,-21.05,0.095,0.005,5.56,XTT,33000,N/A
1998,-0.5226106013719007,-0.7197927430278498,0.393629394415428,13.13,13.01,Monthly,0.035 CAD,0.400000,03/28/2019,592120392,13.11,13.08,-3.65,13.07,-0.01,-0.08,SIS,57009,3.213
1999,0.5245889370407334,0.7426596132337326,0.7129461211129657,23.52,23.45,Quarterly,0.075 CAD,N/A,03/21/2019,24696000,23.45,23.41,0.21,23.52,0.11,0.47,DFU,845,1.276
2000,-0.525542592267838,0.16064550279727413,0.985240351780051,0.70,0.70,N/A,N A,0.07,N/A,34904546,0.70,0.70,-9.37,0.7,0.0,0.0,IFX,7000,N/A
2001,0.8848675419468126,-0.5112640093159182,0.8053434502314769,8.69,8.65,Quarterly,0.209 CAD,0.460000,03/25/2019,492020904,8.65,8.66,1.38,8.68,0.02,0.23,KWH.UN,61470,9.631
2002,0.8166536683907765,-0.1052798752557192,0.8681609043717418,26.85,26.64,Quarterly,0.130 CAD,N/A,03/27/2019,813776376,26.77,26.82,3.2,26.67,-0.15,-0.56,ZBK,33276,1.395
2003,,,,21.10,20.89,Quarterly,0.225 CAD,N/A,04/24/2019,506160000,20.90,20.79,,21.09,0.3,1.44,RY.PR.J,14823,4.267
2004,0.48343252799825664,-0.49130086733616085,0.7750572626058981,44.75,44.31,Quarterly,0.420 CAD,2.040000,03/01/2019,70941512244,44.39,44.32,1.74,44.48,0.16,0.36,SU,2631593,3.777
2005,0.7581196488924317,0.36281343154187623,0.9751671576488524,7.29,7.25,Monthly,0.057 CAD,-2.190000,04/29/2019,6888715,7.25,7.20,3.74,7.29,0.09,1.25,PDV,1700,9.328
2006,,,,N/A,N/A,N/A,N A,N/A,N/A,57770000,N/A,109.00,,109.0,0.0,0.0,GSY.DB,0,N/A
2007,,,,22.49,22.17,Quarterly,0.319 CAD,N/A,06/13/2019,243870000,22.40,22.32,,22.17,-0.15,-0.67,BPO.PR.E,8526,5.751
2008,-0.0407987135322067,0.23117650766022246,0.020318932431502033,19.33,18.96,Quarterly,0.185 CAD,1.610000,02/14/2019,715617593,19.21,19.25,-0.63,19.31,0.06,0.31,ZZZ,44996,3.832
2009,0.9248939882381935,0.22381556613751113,0.931480916055645,21.45,21.40,Monthly,0.046 CAD,N/A,04/22/2019,8580000,21.40,21.37,0.65,21.45,0.08,0.37,RUSB,1034,2.224
2010,,,,26.05,26.03,Quarterly,0.303 CAD,N/A,04/30/2019,625200000,26.05,26.05,,26.05,0.0,0.0,BMO.PR.B,7933,4.654
2011,-0.3835530294274495,0.2404909337720621,0.4979342048040924,12.15,11.98,Quarterly,0.150 CAD,-0.110000,03/04/2019,397694742,12.02,12.02,-3.45,12.05,0.03,0.25,PL,6298,4.979
2012,,,,15.08,15.00,Quarterly,0.136 CAD,N/A,02/26/2019,95037465,15.08,15.05,,15.0,-0.05,-0.33,MFC.PR.F,4580,3.630
2013,,,,21.22,21.10,Quarterly,0.278 CAD,N/A,02/28/2019,211000000,21.15,21.09,,21.1,0.01,0.05,SLF.PR.C,11792,5.273
